author,episode_number,episode_title,quote,quote_order,season
Rachel,1.0,Monica Gets A Roommate,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",62.0,1.0
Monica,1.0,Monica Gets A Roommate,"Well, I guess we've established who's staying here with Monica...",63.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",64.0,1.0
Monica,1.0,Monica Gets A Roommate,"Just breathe, breathe.. that's it. Just try to think of nice calm things...",65.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"(sings) Raindrops on roses and rabbits and kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...",66.0,1.0
Rachel,1.0,Monica Gets A Roommate,I'm all better now.,67.0,1.0
Phoebe,1.0,Monica Gets A Roommate,(grins and walks to the kitchen and says to Chandler and Joey.) I helped!,68.0,1.0
Monica,1.0,Monica Gets A Roommate,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",69.0,1.0
Joey,1.0,Monica Gets A Roommate,"(comforting her) And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",70.0,1.0
Monica,1.0,Monica Gets A Roommate,"Joey, stop hitting on her! It's her wedding day!",71.0,1.0
Joey,1.0,Monica Gets A Roommate,"What, like there's a rule or something?",72.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Please don't do that again, it's a horrible sound.",73.0,1.0
Paul,1.0,Monica Gets A Roommate,"(over the intercom) It's, uh, it's Paul.",74.0,1.0
Monica,1.0,Monica Gets A Roommate,"Oh God, is it 6:30? Buzz him in!",75.0,1.0
Joey,1.0,Monica Gets A Roommate,Who's Paul?,76.0,1.0
Ross,1.0,Monica Gets A Roommate,"Paul the Wine Guy, Paul?",77.0,1.0
Monica,1.0,Monica Gets A Roommate,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,78.0,1.0
Ross,1.0,Monica Gets A Roommate,He finally asked you out?,79.0,1.0
Monica,1.0,Monica Gets A Roommate,Yes!,80.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Ooh, this is a Dear Diary moment.",81.0,1.0
Monica,1.0,Monica Gets A Roommate,"Rach, wait, I can cancel...",82.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Please, no, go, that'd be fine!",83.0,1.0
Monica,1.0,Monica Gets A Roommate,"(to Ross) Are, are you okay? I mean, do you want me to stay?",84.0,1.0
Ross,1.0,Monica Gets A Roommate,(choked voice) That'd be good...,85.0,1.0
Monica,1.0,Monica Gets A Roommate,(horrified) Really?,86.0,1.0
Ross,1.0,Monica Gets A Roommate,"(normal voice) No, go on! It's Paul the Wine Guy!",87.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"What does that mean? Does he sell it, drink it, or just complain a lot? (Chandler doesn't know.)",88.0,1.0
Monica,1.0,Monica Gets A Roommate,"Hi, come in! Paul, this is.. (They are all lined up next to the door.)... everybody, everybody, this is Paul.",89.0,1.0
All,1.0,Monica Gets A Roommate,Hey! Paul! Hi! The Wine Guy! Hey!,90.0,1.0
Chandler,1.0,Monica Gets A Roommate,"I'm sorry, I didn't catch your name. Paul, was it?",91.0,1.0
Monica,1.0,Monica Gets A Roommate,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",92.0,1.0
Ross,1.0,Monica Gets A Roommate,A wandering?,93.0,1.0
Monica,1.0,Monica Gets A Roommate,"Change! Okay, sit down. (Shows Paul in) Two seconds.",94.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"Ooh, I just pulled out four eyelashes. That can't be good.",95.0,1.0
Joey,1.0,Monica Gets A Roommate,"Hey, Paul!",96.0,1.0
Paul,1.0,Monica Gets A Roommate,Yeah?,97.0,1.0
Joey,1.0,Monica Gets A Roommate,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",98.0,1.0
Monica,1.0,Monica Gets A Roommate,"(yelling from the bedroom) Shut up, Joey!",99.0,1.0
Ross,1.0,Monica Gets A Roommate,"So Rachel, what're you, uh... what're you up to tonight?",100.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",101.0,1.0
Ross,1.0,Monica Gets A Roommate,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- (thinks) -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",102.0,1.0
Chandler,1.0,Monica Gets A Roommate,"(deadpan) Yes, and we're very excited about it.",103.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.",104.0,1.0
Ross,1.0,Monica Gets A Roommate,"Okay, sure.",105.0,1.0
Joey,1.0,Monica Gets A Roommate,"Hey Pheebs, you wanna help?",106.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"Oh, I wish I could, but I don't want to.",107.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"(singing) Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- (some guy gives her some change and to that guy) Thank you. (sings) La-la-la-la...ohhh!",109.0,1.0
Ross,1.0,Monica Gets A Roommate,"(squatting and reading the instructions) I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",110.0,1.0
Joey,1.0,Monica Gets A Roommate,I'm thinking we've got a bookcase here.,111.0,1.0
Chandler,1.0,Monica Gets A Roommate,It's a beautiful thing.,112.0,1.0
Joey,1.0,Monica Gets A Roommate,(picking up a leftover part) What's this?,113.0,1.0
Chandler,1.0,Monica Gets A Roommate,I would have to say that is an 'L'-shaped bracket.,114.0,1.0
Joey,1.0,Monica Gets A Roommate,Which goes where?,115.0,1.0
Chandler,1.0,Monica Gets A Roommate,I have no idea.,116.0,1.0
Joey,1.0,Monica Gets A Roommate,Done with the bookcase!,117.0,1.0
Chandler,1.0,Monica Gets A Roommate,All finished!,118.0,1.0
Ross,1.0,Monica Gets A Roommate,"(clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known.",119.0,1.0
Joey,1.0,Monica Gets A Roommate,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",120.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Yes, please don't spoil all this fun.",121.0,1.0
Joey,1.0,Monica Gets A Roommate,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",122.0,1.0
Ross,1.0,Monica Gets A Roommate,You guys.,123.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Oh, God.",124.0,1.0
Joey,1.0,Monica Gets A Roommate,You got screwed.,125.0,1.0
Chandler,1.0,Monica Gets A Roommate,Oh my God!,126.0,1.0
Monica,1.0,Monica Gets A Roommate,Oh my God!,127.0,1.0
Paul,1.0,Monica Gets A Roommate,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",128.0,1.0
Monica,1.0,Monica Gets A Roommate,"My brother's going through that right now, he's such a mess. How did you get through it?",129.0,1.0
Paul,1.0,Monica Gets A Roommate,"Well, you might try accidentally breaking something valuable of hers, say her-",130.0,1.0
Monica,1.0,Monica Gets A Roommate,-leg?,131.0,1.0
Paul,1.0,Monica Gets A Roommate,"(laughing) That's one way! Me, I- I went for the watch.",132.0,1.0
Monica,1.0,Monica Gets A Roommate,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",133.0,1.0
Paul,1.0,Monica Gets A Roommate,"Ooh, steer clear of you.",134.0,1.0
Monica,1.0,Monica Gets A Roommate,"That's right.Scene: Monica's Apartment, Rachel is talking on the phone and pacing.]",135.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- (She stops talking and dials the phone.) Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too... (The maching cuts her off again and she redials.)",136.0,1.0
Ross,1.0,Monica Gets A Roommate,I'm divorced! I'm only 26 and I'm divorced!,137.0,1.0
Joey,1.0,Monica Gets A Roommate,Shut up!,138.0,1.0
Chandler,1.0,Monica Gets A Roommate,You must stop! (Chandler hits what he is working on with a hammer and it collapses.),139.0,1.0
Ross,1.0,Monica Gets A Roommate,That only took me an hour.,140.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",141.0,1.0
Ross,1.0,Monica Gets A Roommate,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",142.0,1.0
Joey,1.0,Monica Gets A Roommate,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",143.0,1.0
Ross,1.0,Monica Gets A Roommate,I honestly don't know if I'm hungry or horny.,144.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Stay out of my freezer!Scene: A Restaurant, Monica and Paul are still eating.]",145.0,1.0
Paul,1.0,Monica Gets A Roommate,"Ever since she walked out on me, I, uh...",146.0,1.0
Monica,1.0,Monica Gets A Roommate,"What?..... What, you wanna spell it out with noodles?",147.0,1.0
Paul,1.0,Monica Gets A Roommate,"No, it's, it's more of a fifth date kinda revelation.",148.0,1.0
Monica,1.0,Monica Gets A Roommate,"Oh, so there is gonna be a fifth date?",149.0,1.0
Paul,1.0,Monica Gets A Roommate,Isn't there?,150.0,1.0
Monica,1.0,Monica Gets A Roommate,"Yeah... yeah, I think there is. -What were you gonna say?",151.0,1.0
Paul,1.0,Monica Gets A Roommate,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. (Monica takes a sip of her drink.) ...Sexually.",152.0,1.0
Monica,1.0,Monica Gets A Roommate,"(spitting out her drink in shock) Oh God, oh God, I am sorry... I am so sorry...",153.0,1.0
Paul,1.0,Monica Gets A Roommate,It's okay...,154.0,1.0
Monica,1.0,Monica Gets A Roommate,I know being spit on is probably not what you need right now. Um... how long?,155.0,1.0
Paul,1.0,Monica Gets A Roommate,Two years.,156.0,1.0
Monica,1.0,Monica Gets A Roommate,Wow! I'm-I'm-I'm glad you smashed her watch!,157.0,1.0
Paul,1.0,Monica Gets A Roommate,"So you still think you, um... might want that fifth date?",158.0,1.0
Monica,1.0,Monica Gets A Roommate,"(pause)...Yeah. Yeah, I do.",159.0,1.0
Priest on TV,1.0,Monica Gets A Roommate,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.",160.0,1.0
Rachel,1.0,Monica Gets A Roommate,Oh...see... but Joanne loved Chachi! That's the difference!,161.0,1.0
Ross,1.0,Monica Gets A Roommate,"(scornful) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",162.0,1.0
Joey,1.0,Monica Gets A Roommate,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man, (looks to Chandler)",163.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Angela's the screamer, Andrea has cats.",164.0,1.0
Joey,1.0,Monica Gets A Roommate,Right. Thanks. It's June. I'm outta here. (Exits.),165.0,1.0
Ross,1.0,Monica Gets A Roommate,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? (He gazes out of the window.)",166.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",168.0,1.0
Chandler,1.0,Monica Gets A Roommate,That is amazing.,169.0,1.0
Joey,1.0,Monica Gets A Roommate,Congratulations.,170.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Y'know, I figure if I can make coffee, there isn't anything I can't do.",171.0,1.0
Chandler,1.0,Monica Gets A Roommate,"If can invade Poland, there isn't anything I can't do.",172.0,1.0
Joey,1.0,Monica Gets A Roommate,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... (Joey and Chandler taste the coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that hungry...",173.0,1.0
Monica,1.0,Monica Gets A Roommate,"(entering, to herself) Oh good, Lenny and Squigy are here.",174.0,1.0
All,1.0,Monica Gets A Roommate,Morning. Good morning.,175.0,1.0
Paul,1.0,Monica Gets A Roommate,(entering from Monica's room) Morning.,176.0,1.0
Joey,1.0,Monica Gets A Roommate,"Morning, Paul.",177.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Hello, Paul.",178.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Hi, Paul, is it?",179.0,1.0
Paul,1.0,Monica Gets A Roommate,Thank you! Thank you so much!,180.0,1.0
Monica,1.0,Monica Gets A Roommate,Stop!,181.0,1.0
Paul,1.0,Monica Gets A Roommate,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",182.0,1.0
Monica,1.0,Monica Gets A Roommate,We'll talk later.,183.0,1.0
Paul,1.0,Monica Gets A Roommate,Yeah. (They kiss) Thank you. (Exits),184.0,1.0
Joey,1.0,Monica Gets A Roommate,That wasn't a real date?! What the hell do you do on a real date?,185.0,1.0
Monica,1.0,Monica Gets A Roommate,"Shut up, and put my table back.",186.0,1.0
All,1.0,Monica Gets A Roommate,Okayyy! (They do so.),187.0,1.0
Chandler,1.0,Monica Gets A Roommate,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",188.0,1.0
Rachel,1.0,Monica Gets A Roommate,"So, like, you guys all have jobs?",189.0,1.0
Monica,1.0,Monica Gets A Roommate,"Yeah, we all have jobs. See, that's how we buy stuff.",190.0,1.0
Joey,1.0,Monica Gets A Roommate,"Yeah, I'm an actor.",191.0,1.0
Rachel,1.0,Monica Gets A Roommate,Wow! Would I have seen you in anything?,192.0,1.0
Joey,1.0,Monica Gets A Roommate,I doubt it. Mostly regional work.,193.0,1.0
Monica,1.0,Monica Gets A Roommate,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",194.0,1.0
Joey,1.0,Monica Gets A Roommate,"Look, it was a job all right?",195.0,1.0
Chandler,1.0,Monica Gets A Roommate,"'Look, Gippetto, I'm a real live boy.'",196.0,1.0
Joey,1.0,Monica Gets A Roommate,I will not take this abuse. (Walks to the door and opens it to leave.),197.0,1.0
Chandler,1.0,Monica Gets A Roommate,"You're right, I'm sorry. (Burst into song and dances out of the door.) ""Once I was a wooden boy, a little wooden boy...""",198.0,1.0
Joey,1.0,Monica Gets A Roommate,"You should both know, that he's a dead man. Oh, Chandler? (Starts after Chandler.)",199.0,1.0
Monica,1.0,Monica Gets A Roommate,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,200.0,1.0
Rachel,1.0,Monica Gets A Roommate,I can see that. You look like you slept with a hanger in your mouth.,201.0,1.0
Monica,1.0,Monica Gets A Roommate,"I know, he's just so, so... Do you remember you and Tony DeMarco?",202.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Oh, yeah.",203.0,1.0
Monica,1.0,Monica Gets A Roommate,"Well, it's like that. With feelings.",204.0,1.0
Rachel,1.0,Monica Gets A Roommate,Oh wow. Are you in trouble.,205.0,1.0
Monica,1.0,Monica Gets A Roommate,Big time!,206.0,1.0
Rachel,1.0,Monica Gets A Roommate,Want a wedding dress? Hardly used.,207.0,1.0
Monica,1.0,Monica Gets A Roommate,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",208.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Oh, look, wish me luck!",209.0,1.0
Monica,1.0,Monica Gets A Roommate,What for?,210.0,1.0
Rachel,1.0,Monica Gets A Roommate,I'm gonna go get one of those (Thinks) job things.,211.0,1.0
Frannie,1.0,Monica Gets A Roommate,"Hey, Monica!",212.0,1.0
Monica,1.0,Monica Gets A Roommate,"Hey Frannie, welcome back! How was Florida?",213.0,1.0
Frannie,1.0,Monica Gets A Roommate,"You had sex, didn't you?",214.0,1.0
Monica,1.0,Monica Gets A Roommate,How do you do that?,215.0,1.0
Frannie,1.0,Monica Gets A Roommate,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",216.0,1.0
Monica,1.0,Monica Gets A Roommate,You know Paul?,217.0,1.0
Frannie,1.0,Monica Gets A Roommate,"Paul the Wine Guy? Oh yeah, I know Paul.",218.0,1.0
Monica,1.0,Monica Gets A Roommate,You mean you know Paul like I know Paul?,219.0,1.0
Frannie,1.0,Monica Gets A Roommate,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",220.0,1.0
Joey,1.0,Monica Gets A Roommate,(sitting on the arm of the couch)Of course it was a line!,221.0,1.0
Monica,1.0,Monica Gets A Roommate,"Why?! Why? Why, why would anybody do something like that?",222.0,1.0
Ross,1.0,Monica Gets A Roommate,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,223.0,1.0
Monica,1.0,Monica Gets A Roommate,I hate men! I hate men!,224.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"Oh no, don't hate, you don't want to put that out into the universe.",225.0,1.0
Monica,1.0,Monica Gets A Roommate,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,226.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"All right, c'mere, gimme your feet. (She starts massaging them.)",227.0,1.0
Monica,1.0,Monica Gets A Roommate,"I just thought he was nice, y'know?",228.0,1.0
Joey,1.0,Monica Gets A Roommate,(bursts out laughing again) I can't believe you didn't know it was a line!,229.0,1.0
Rachel,1.0,Monica Gets A Roommate,Guess what?,230.0,1.0
Ross,1.0,Monica Gets A Roommate,You got a job?,231.0,1.0
Rachel,1.0,Monica Gets A Roommate,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,232.0,1.0
Chandler,1.0,Monica Gets A Roommate,And yet you're surprisingly upbeat.,233.0,1.0
Rachel,1.0,Monica Gets A Roommate,"You would be too if you found John and David boots on sale, fifty percent off!",234.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Oh, how well you know me...",235.0,1.0
Rachel,1.0,Monica Gets A Roommate,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",236.0,1.0
Monica,1.0,Monica Gets A Roommate,How'd you pay for them?,237.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Uh, credit card.",238.0,1.0
Monica,1.0,Monica Gets A Roommate,And who pays for that?,239.0,1.0
Rachel,1.0,Monica Gets A Roommate,Um... my... father.,240.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",241.0,1.0
Monica,1.0,Monica Gets A Roommate,"C'mon, you can't live off your parents your whole life.",242.0,1.0
Rachel,1.0,Monica Gets A Roommate,I know that. That's why I was getting married.,243.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"Give her a break, it's hard being on your own for the first time.",244.0,1.0
Rachel,1.0,Monica Gets A Roommate,Thank you.,245.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",246.0,1.0
Ross,1.0,Monica Gets A Roommate,The word you're looking for is 'Anyway'...,247.0,1.0
Monica,1.0,Monica Gets A Roommate,"All right, you ready?",248.0,1.0
Rachel,1.0,Monica Gets A Roommate,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!",249.0,1.0
Monica,1.0,Monica Gets A Roommate,"You can, I know you can!",250.0,1.0
